,ChWi,Charlottenburg-Wilmersdorf,Pank,Pankow,Unnamed: 0,StZe,Steglitz-Zehlendorf,Unnamed: 1
0,,Charlottenburg Charl,,Blankenburg,Blanb,,Dahlem,Dahle
1,,Charlottenburg-Nord CharN,,Blankenfelde,Blanf,,Lankwitz,Lankw
2,,Grunewald Grune,,Buch,Buch,,Lichterfelde,Lifel
3,,Halensee Halen,,Französisch Buchholz,FrzBu,,Nikolassee,Nikol
4,,Schmargendorf Schma,,Heinersdorf,Heind,,Steglitz,Stegl
5,,Westend Weste,,Karow,Karow,,Wannsee,Wanns
6,,Wilmersdorf Wilmd,,Niederschönhausen,Nieds,,Zehlendorf,Zehld
7,,,,Pankow,Panko,TrKö,Treptow-Köpenick,
8,FrKr,Friedrichshain-Kreuzberg,,Prenzlauer Berg,Prenz,,Adlershof,Adler
9,,Friedrichshain Frhai,,Rosenthal,Roset,,Altglienicke,Altgl
10,,Kreuzberg Kreuz,,Stadtrandsiedlung,,,Alt-Treptow,Alttr
11,,,,Malchow,StaMa,,Baumschulenweg,Baums
12,Lich,Lichtenberg,,Weißensee,Weißs,,Bohnsdorf,Bohnd
13,,Alt-Hohenschönhausen AHohs,,Wilhelmsruh,Wilhe,,Friedrichshagen,Frihg
14,,Falkenberg Falkb,,,,,Grünau,Grüna
15,,Fennpfuhl Fenpf,,,,,Johannisthal,Johth
16,,Friedrichsfelde Frife,Rein,Reinickendorf,,,Köpenick,Köpen
17,,Karlshorst Karlh,,Borsigwalde,Borwa,,Müggelheim,Müggh
18,,Lichtenberg Liber,,Frohnau,Frohn,,Niederschöneweide,Niesw
19,,Malchow Malch,,Heiligensee,Heils,,Oberschöneweide,Obers
20,,Neu-Hohenschönhausen NHohs,,Hermsdorf,Hermd,,Plänterwald,Plänt
21,,Rummelsburg Rumbg,,Konradshöhe,Konhö,,Rahnsdorf,Rahnd
22,,Wartenberg Wartb,,Lübars,Lübar,,Schmöckwitz,Schmö
23,,,,Märkisches Viertel,MärkV,,,
24,MaHe,Marzahn-Hellersdorf,,Reinickendorf,Reind,TSch,Tempelhof-Schöneberg,
25,,Biesdorf Biesd,,Tegel,Tegel,,Friedenau,Fried
26,,Hellersdorf Helld,,Waidmannslust,Waidm,,Lichtenrade,Lirad
27,,Kaulsdorf Kauld,,Wittenau,Wittn,,Mariendorf,Mardf
28,,Mahlsdorf Mahld,,,,,Marienfelde,Marfe
29,,Marzahn Marza,Span,Spandau,,,Schöneberg,Schön
30,,,,Falkenhagener Feld,FalFe,,Tempelhof,Temph
31,Mitt,Mitte,,Gatow,Gatow,,,
32,,Gesundbrunnen Gesbr,,Hakenfelde,Haken,,,
33,,Hansaviertel Hansa,,Haselhorst,Hasel,,,
34,,Mitte Mitte,,Kladow,Klado,,,
35,,Moabit Moabi,,Siemensstadt,Sieme,,,
36,,Tiergarten Tierg,,Spandau,Spand,,,
37,,Wedding Weddg,,Staaken,Staak,,,
38,,,,Wilhelmstadt,Wilst,,,
