straße,bezirk,wohnlage_einstufung,gebietsstand,hausnummer,buchstabe,lage_im_stadtgebiet,ortsteil
AEG-Siedlung Heimat,Rein,mittel,1,0,1,1,1
AEG-Straße,Rein,mittel,1,0,1,1,1
Aachener Straße,ChWi,gut,14,14,14,14,14
Aachener Straße,ChWi,gut *,5,5,5,5,5
Aachener Straße,ChWi,mittel,8,8,8,8,8
Aachener Straße,ChWi,mittel *,15,15,15,15,15
Aalemannufer,Span,mittel,38,38,38,38,38
Aalemannufer,Span,mittel *,1,1,1,1,1
Aalesunder Straße,Pank,mittel,18,18,18,18,18
Aalesunder Straße,Pank,mittel *,1,1,1,1,1
Aalstieg,TrKö,einfach,1,0,1,1,1
Aarauer Straße,StZe,gut,1,0,1,1,1
Aarberger Straße,StZe,mittel,1,0,1,1,1
Abajstraße,Pank,einfach,1,0,1,1,1
Abbestraße,ChWi,mittel,1,0,1,1,1
Abendrotweg,TSch,mittel,1,0,1,1,1
Abram-Joffe-Straße,TrKö,einfach,14,14,14,14,14
Abram-Joffe-Straße,TrKö,einfach*,2,2,2,2,2
Abtstraße,TrKö,mittel,3,3,3,3,3
Abtstraße,TrKö,mittel *,10,10,10,10,10
Abtweilerstraße,TrKö,einfach,1,0,1,1,1
Achardstraße,MaHe,einfach,56,56,56,56,56
Achardstraße,MaHe,einfach *,2,2,2,2,2
Achenbachstraße,Span,einfach,9,9,9,9,9
Achenbachstraße,Span,einfach *,2,2,2,2,2
Achenseeweg,StZe,mittel,1,0,1,1,1
Achillesstraße,Pank,mittel,180,180,180,180,180
Achillesstraße,Pank,mittel *,7,7,7,7,7
Achtermannstraße,Pank,gut,22,22,22,22,22
Achtermannstraße,Pank,mittel,27,27,27,27,27
Achtermannstraße,Pank,mittel *,1,1,1,1,1
Achtrutenberg,Pank,mittel,99,99,99,99,99
Achtrutenberg,Pank,mittel *,2,2,2,2,2
Ackerplanweg,Rein,mittel,1,0,1,1,1
Ackerstraße,Mitt,einfach,82,82,82,82,82
Ackerstraße,Mitt,einfach *,11,11,11,11,11
Ackerstraße,Mitt,gut,64,64,64,64,64
Ackerstraße,Mitt,gut *,7,7,7,7,7
Ackerstraße,Mitt,mittel,3,3,3,3,3
Ackerstraße,Mitt,mittel *,1,1,1,1,1
Ackerstraße,Span,einfach,35,35,35,35,35
Ackerstraße,Span,einfach *,1,1,1,1,1
Adalbertstraße,FrKr,einfach,9,9,9,9,9
Adalbertstraße,FrKr,einfach *,52,52,52,52,52
Adalbertstraße,Mitt,mittel,35,35,35,35,35
Adalbertstraße,Mitt,mittel *,8,8,8,8,8
Adam-von-Trott-Straße,ChWi,einfach,1,0,1,1,1
Adamstraße,Span,einfach,2,2,2,2,2
Adamstraße,Span,einfach *,47,47,47,47,47
Adele-Sandrock-Straße,MaHe,mittel,155,155,155,155,155
Adele-Schreiber-Krieger-Straße,Mitt,gut *,1,0,1,1,1
Adelheid-Poninska-Straße,Span,einfach,1,0,1,1,1
Adelheidallee,Rein,gut,1,0,1,1,1
Adersleber Weg,MaHe,einfach,16,16,16,16,16
Adersleber Weg,MaHe,einfach *,4,4,4,4,4
Adickesstraße,Span,einfach,80,80,80,80,80
Adickesstraße,Span,einfach *,27,27,27,27,27
Adlergestell,TrKö,einfach,9,9,9,9,9
Adlergestell,TrKö,einfach *,198,198,198,198,198
Adlergestell,TrKö,mittel,8,8,8,8,8
Adlergestell,TrKö,mittel *,869,869,869,869,869
Adlershofer Straße,TrKö,mittel,9,9,9,9,9
Adlershofer Straße,TrKö,mittel *,1,1,1,1,1
Adlerstraße,TrKö,einfach,1,0,1,1,1
Admiralstraße,FrKr,einfach,35,35,35,35,35
Admiralstraße,FrKr,einfach *,3,3,3,3,3
Adolf-Martens-Straße,StZe,gut,31,31,31,31,31
Adolf-Martens-Straße,StZe,gut *,6,6,6,6,6
Adolf-Menzel-Straße,MaHe,einfach,148,148,148,148,148
Adolf-Menzel-Straße,MaHe,einfach *,2,2,2,2,2
Adolf-Scheidt-Platz,TSch,mittel,19,19,19,19,19
Adolf-Scheidt-Platz,TSch,mittel *,1,1,1,1,1
