,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²
0,Nutzen Sie Ihre Chance - 2 Zimmerwohnung mit begehbaren Kleiderschrank in zentraler Lage,https://www.immobilienscout24.de/expose/114414026,979.4,179.0,72.0,1265.4,2938.20,2 von 4,78.0,2,1.0,1.0,True,True,1972.0,2016.0,Neuwertig,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,114.1,German Prop Tech GmbH,"Reinickendorfer Straße 4, 13447 Berlin, Wedding (Wedding)",Reinickendorfer Straße,13447 Berlin,Wedding (Wedding),4,Wedding,12.556410256410256
1,Komfort 1 Zimmer Apartment - Möbliert in Topcitylage!,https://www.immobilienscout24.de/expose/113507810,895.0,100.0,0.0,995.0,2685,3 von 6,30.97,1,,1.0,True,True,2019.0,,Erstbezug,Fernwärme,Fernwärme,liegt zur Besichtigung vor,,,first single apartment verwaltungs GmbH & Co. KG Bundesallee 28 10717 Berlin,"Leibnizstraße 85, 10625 Berlin, Charlottenburg (Charlottenburg)",Leibnizstraße,10625 Berlin,Charlottenburg (Charlottenburg),85,Charlottenburg,28.89893445269616
2,Sofort bezugsfertig: 2-Zimmer-Wohnung mit Terrasse,https://www.immobilienscout24.de/expose/109379660,798.98,197.11,0.0,996.09,2396.93,,67.71,2,1.0,1.0,,,,,Erstbezug,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)",Am Hohen Feld,13125 Berlin,Karow (Weißensee),125,Karow,11.800029537734456
3,Sofort bezugsfertig: 3-Zimmer-Dachgeschosswohnung mit Balkon,https://www.immobilienscout24.de/expose/111945160,1158.95,257.14,0.0,1416.09,3476.85,,89.15,3,2.0,1.0,,,,,Erstbezug,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)",Am Hohen Feld,13125 Berlin,Karow (Weißensee),125,Karow,13.0
4,"*Balkon*, *EBK*, *Erstbezug*, Tolle 3 Zi. Whg.",https://www.immobilienscout24.de/expose/115629249,1447.3,164.0,82.0,1693.3,2895,4 von 5,82.0,3,2.0,2.0,True,True,2019.0,2019.0,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Hedwig-Porschütz-Straße 2, 10557 Berlin, Tiergarten (Tiergarten)",Hedwig-Porschütz-Straße,10557 Berlin,Tiergarten (Tiergarten),2,Tiergarten,17.65
5,Lichtdurchflutetes Appartement - Tageslichtbad - Laminat - Balkon - 604 € warm,https://www.immobilienscout24.de/expose/100591334,503.0,101.0,0.0,604.0,3 x Nettokaltmiete,4,38.48,1,,,,,1956.0,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,159.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Schulenburgring 125, 12101 Berlin, Tempelhof (Tempelhof)",Schulenburgring,12101 Berlin,Tempelhof (Tempelhof),125,Tempelhof,13.071725571725572
6,Eine Perle mit modernem Grundriss,https://www.immobilienscout24.de/expose/115502827,1290.0,210.0,140.0,1640.0,3 NKM,5 von 1,91.89,3,2.0,1.0,True,True,2010.0,2009.0,Modernisiert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,wfi- Wohlfühlimmobilien Thomas- Müntzer- Damm 15 14532 Kleinmachnow,"Richard- Sorge- Straße 10, 10249 Berlin, Friedrichshain (Friedrichshain)",Richard- Sorge- Straße,10249 Berlin,Friedrichshain (Friedrichshain),10,Friedrichshain,14.038524322559581
7,KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632638,799.0,116.0,87.0,1002.0,3 Nettokaltmieten Kaution,2 von 7,72.56,3,2.0,1.0,True,True,,,Erstbezug,Fußbodenheizung,,liegt zur Besichtigung vor,,,BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)",Martin-Riesenburger-Straße,12627 Berlin,Hellersdorf (Hellersdorf),38,Hellersdorf,11.011576626240352
8,KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632745,789.0,115.0,86.0,990.0,3 Nettokaltmieten Kaution,1 von 7,72.18,3,2.0,1.0,True,True,,,Erstbezug,Fußbodenheizung,,liegt zur Besichtigung vor,,,BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)",Martin-Riesenburger-Straße,12627 Berlin,Hellersdorf (Hellersdorf),38,Hellersdorf,10.931005818786366
9,++Stilvolles Loft in den Paul-Lincke-Höfen mit EBK++,https://www.immobilienscout24.de/expose/114122495,2550.0,400.0,0.0,2950.0,7650.00,4,170.0,3,,,,,1910.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,PORZIG IMMOBILIEN GmbH Franz-Mehring-Straße 9 09112 Chemnitz,"Paul-Lincke-Ufer 8D, 10999 Berlin, Kreuzberg (Kreuzberg)",Paul-Lincke-Ufer,10999 Berlin,Kreuzberg (Kreuzberg),8,Kreuzberg,15.0
