Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adreese
Nutzen Sie Ihre Chance - 2 Zimmerwohnung mit begehbaren Kleiderschrank in zentraler Lage,https://www.immobilienscout24.de/expose/114414026,"979,40 €",179 €,72 €,"1.265,40 €","2.938,20 €",2 von 4,78 m²,2,1,1,True,True,1972,zuletzt 2016,Neuwertig,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,"114,1 kWh/(m²*a)",German Prop Tech GmbH,"Reinickendorfer Straße 4, 13447 Berlin, Wedding (Wedding)"
Komfort 1 Zimmer Apartment - Möbliert in Topcitylage!,https://www.immobilienscout24.de/expose/113507810,895 €,100 €,in Nebenkosten enthalten,995 €,2685,3 von 6,"30,97 m²",1,,1,True,True,2019,,Erstbezug,Fernwärme,Fernwärme,liegt zur Besichtigung vor,,,first single apartment verwaltungs GmbH & Co. KG Bundesallee 28 10717 Berlin,"Leibnizstraße 85, 10625 Berlin, Charlottenburg (Charlottenburg)"
Sofort bezugsfertig: 2-Zimmer-Wohnung mit Terrasse,https://www.immobilienscout24.de/expose/109379660,"798,98 €","197,11 €",in Nebenkosten enthalten,"996,09 €","2.396,93 EUR",,"67,71 m²",2,1,1,,,,,Erstbezug,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)"
Sofort bezugsfertig: 3-Zimmer-Dachgeschosswohnung mit Balkon,https://www.immobilienscout24.de/expose/111945160,"1.158,95 €","257,14 €",in Nebenkosten enthalten,"1.416,09 €","3.476,85 EUR",,"89,15 m²",3,2,1,,,,,Erstbezug,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)"
"*Balkon*, *EBK*, *Erstbezug*, Tolle 3 Zi. Whg.",https://www.immobilienscout24.de/expose/115629249,"1.447,30 €",164 €,82 €,"1.693,30 €",2895,4 von 5,82 m²,3,2,2,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,"Hedwig-Porschütz-Straße 2, 10557 Berlin, Tiergarten (Tiergarten)"
Lichtdurchflutetes Appartement - Tageslichtbad - Laminat - Balkon - 604 € warm,https://www.immobilienscout24.de/expose/100591334,503 €,101 €,inkl. 28 €,604 €,3 x Nettokaltmiete,4,"38,48 m²",1,,,,,1956,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,159 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Schulenburgring 125, 12101 Berlin, Tempelhof (Tempelhof)"
Eine Perle mit modernem Grundriss,https://www.immobilienscout24.de/expose/115502827,1.290 €,210 €,140 €,1.640 €,3 NKM,5 von 1,"91,89 m²",3,2,1,True,True,2010,zuletzt 2009,Modernisiert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,wfi- Wohlfühlimmobilien Thomas- Müntzer- Damm 15 14532 Kleinmachnow,"Richard- Sorge- Straße 10, 10249 Berlin, Friedrichshain (Friedrichshain)"
KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632638,799 €,116 €,87 €,1.002 €,3 Nettokaltmieten Kaution,2 von 7,"72,56 m²",3,2,1,True,True,,,Erstbezug,Fußbodenheizung,,liegt zur Besichtigung vor,,,BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)"
KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632745,789 €,115 €,86 €,990 €,3 Nettokaltmieten Kaution,1 von 7,"72,18 m²",3,2,1,True,True,,,Erstbezug,Fußbodenheizung,,liegt zur Besichtigung vor,,,BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)"
++Stilvolles Loft in den Paul-Lincke-Höfen mit EBK++,https://www.immobilienscout24.de/expose/114122495,2.550 €,400 €,in Nebenkosten enthalten,2.950 €,"7.650,00 EUR",4,170 m²,3,,,,,1910,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,PORZIG IMMOBILIEN GmbH Franz-Mehring-Straße 9 09112 Chemnitz,"Paul-Lincke-Ufer 8D, 10999 Berlin, Kreuzberg (Kreuzberg)"
