Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Schlafzimmer,Badezimmer,Balkon/ Terrasse,Baujahr,Objektzustand,Ausstattung,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Endenergiebedarf,Energieeffizienzklasse,Anbieter,Adreese
3 Zimmerwohnungen WG-geeignet-Erstbezug nach Neubau der 5 Etage,https://www.immobilienscout24.de/expose/115391090,1.422 €,79 €,35 €,1.536 €,4266 EUR,5 von 5,79 m²,11.02.2020,3,1,1,True,1956,Erstbezug,Gehobene Qualität,Fußbodenheizung,Gas,liegt vor,Bedarfsausweis,67 kWh/(m²*a),B,immo-for-less Privat vom Eigentümer,"Ruppinerstraße 35-36, 13355 Berlin, Wedding (Wedding)"
Sonniges gepflegtes Dachgeschoss in ruhiger Zehlendorflage,https://www.immobilienscout24.de/expose/115828344,625 €,90 €,95 €,810 €,"2235,00",2 von 2,60 m²,01.04.2020,2,1,1,True,1997,Gepflegt,Normale Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,,Stadler Wohnbauten GmbH - Freies Wohnungsunternehmen Berlin - Im Bauernbusch 14 12355 Berlin,"Hans-Böhm-Zeile 10, 14165 Berlin, Zehlendorf (Zehlendorf)"
1-Zimmer-Wohnung in Adlershof | Verfügbar ab sofort,https://www.immobilienscout24.de/expose/115781578,509 €,45 €,45 €,599 €,"1527,00 €",2 von 5,"28,9 m²",ab sofort,1,1,1,True,2014,Neuwertig,Normale Qualität,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,"44,8 kWh/(m²*a)",A,YS real estate GmbH,"Dörpfeldstraße 5, 12489 Berlin, Adlershof (Treptow)"
Neuer Preis: Großzügige Dachgeschoss-Maisonette in Ku'Damm-Nähe -Spacious apartment close to Ku'Damm,https://www.immobilienscout24.de/expose/113389306,2.995 €,500 €,nicht in Nebenkosten enthalten,3.495 € (zzgl. Heizkosten),"6.000,- EUR",5 von 5,170 m²,01.01.2020,5,3,2,,1905,Vollständig renoviert,Luxus,Etagenheizung,Gas,laut Gesetz nicht erforderlich,,,,MesseReal Stephanstr. 61 10559 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
schöne 3-zi-terrassen-whg mit großen fenstern EBK u. aufzug erstbezug,https://www.immobilienscout24.de/expose/115695194,2.490 €,322 €,in Nebenkosten enthalten,2.812 €,"7.470,00 EUR",2 von 5,"100,7 m²",sofort,3,2,1,True,2019,Erstbezug,Luxus,Zentralheizung,Gas,,Verbrauchsausweis,,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
schöne möblierte 2 zi-whg mit EBK balkon und aufzug im 2. og,https://www.immobilienscout24.de/expose/115433874,1.500 €,230 €,in Nebenkosten enthalten,1.730 €,"4.500,00 EUR",2 von 6,68 m²,sofort,2,1,1,True,2013,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,68 kWh/(m²*a),,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10115 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Neubau City West! Möblierte moderne Komfortwohnung in Berlin-Schmargendorf! Terrasse/Garten!,https://www.immobilienscout24.de/expose/115807328,1.300 €,250 €,in Nebenkosten enthalten,1.550 €,3 Nettokaltmieten,0 von 6,68 m²,15.4.2020,2,1,1,True,2020,Erstbezug,,Blockheizkraftwerke,Gas,liegt vor,Bedarfsausweis,"69,1 kWh/(m²*a)",,RHE Grundbesitz KG Koenigsallee 7 14193 Berlin,"14199 Berlin, Schmargendorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Möblierte Wohnung für 9 Monate in Berlin-Neukölln!,https://www.immobilienscout24.de/expose/115831606,749 €,80 €,in Nebenkosten enthalten,829 €,2247,,36 m²,sofort,1,,1,,1910,Gepflegt,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Richardstr. 65, 12055 Berlin, Neukölln (Neukölln)"
Großzügige Dachgeschosswohnung mit Terrasse und EBK!,https://www.immobilienscout24.de/expose/115580380,"1.199,25 €","287,82 €",in Nebenkosten enthalten,"1.487,07 €",3 Nettokaltmieten,,"95,94 m²",sofort,4,3,1,True,1905,Gepflegt,Gehobene Qualität,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,,TRENDCITY GmbH Kurfürstendamm 67 10707 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Luxuriöse Penthousemaisonette in Townhouse, Hausvogteiplatz, Berlin - Mitte",https://www.immobilienscout24.de/expose/69389920,1.600 €,150 €,116 €,1.866 €,5.700,4 von 5,95 m²,sofort,2,1,1,True,2006,Saniert,Luxus,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,,Weiss & Cie. Advisory GmbH Kurfürstendamm 68 10707 Berlin,"10117 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Luxuswohnung im Haus von Ralf Schmitz im Grunewald,https://www.immobilienscout24.de/expose/91496497,2.938 €,512 €,in Nebenkosten enthalten,3.550 €,3 Kaltmieten,1 von 3,113 m²,sofort,3,2,2,True,2014,Neuwertig,Luxus,Fußbodenheizung,Gas,liegt vor,Bedarfsausweis,68 kWh/(m²*a),,Berlin Property Partner Neue Grünstrasse 2 10179 Berlin,"Goldfinkweg 40, 14195 Berlin, Schmargendorf (Wilmersdorf)"
Luxus Apartment in Tiergarten,https://www.immobilienscout24.de/expose/108137275,1.450 €,120 €,nicht in Nebenkosten enthalten,1.570 € (zzgl. Heizkosten),4350,4 von 4,"95,5 m²",sofort,3,2,1,True,1919,Erstbezug,Luxus,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,"155,5 kWh/(m²*a)",,Gral Immobilien und Hausverwaltungs GmbH Blankenburger Strasse 23 13089 Berlin - Heinersdorf,"Alt-Moabit 46, 10555 Berlin, Tiergarten (Tiergarten)"
Super 2 Zimmerwohnung,https://www.immobilienscout24.de/expose/115269165,"693,63 €","92,48 €","85,87 €","871,98 €","2.080,85",0 von 6,"66,06 m²",sofort,2,1,1,True,1994,Gepflegt,Normale Qualität,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,,DIM Holding AG Potsdamer Str. 188 10738 Berlin,"Simon-Bolivar-Str. 18A, 13055 Berlin, Alt-Hohenschönhausen (Hohenschönhausen)"
Großartiges 2-Zi Dachgeschoss in bester City-West Lage,https://www.immobilienscout24.de/expose/114633125,"1.665,60 €","312,30 €","inkl. 156,15 €","1.977,90 €","4996,80",5 von 5,"104,1 m²",sofort,2,1,1,True,1912,Erstbezug nach Sanierung,Gehobene Qualität,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,"178,4 kWh/(m²*a)",,Plus.Punkt Verwaltungsgesellschaft für Immobilien mbH Uhlandstr. 149 10719 Berlin,"Konstanzer Str 10, 10707 Berlin-Wilmersdorf, Wilmersdorf (Wilmersdorf)"
Schöne Dachgeschoss Wohnung,https://www.immobilienscout24.de/expose/107963469,1.544 €,120 €,keine Angabe,1.664 € (zzgl. Heizkosten),4632,5 von 5,"96,5 m²",sofort,3,2,1,True,,Erstbezug,,,Gas,,,,,Gral Immobilien und Hausverwaltungs GmbH Blankenburger Strasse 23 13089 Berlin - Heinersdorf,"Alt-Moabit 46, 10555 Berlin, Tiergarten (Tiergarten)"
Familiengeeignete wunderschöne 3-Zimmer-Neubau-Wohnung mit Balkon-EBK,https://www.immobilienscout24.de/expose/115694992,1.549 €,"218,87 €",0 €,"1.767,87 €",4647,2 von 5,"78,17 m²",23.01.2020,3,,1,True,2020,,,,,,,,,Urban Ground GmbH Rheinsberger Str. 76/77 10115 Berlin,"Blankenburger Str. 24, 13156 Berlin, Niederschönhausen (Pankow)"
