,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
12,2 zi-whg in der böckhstrasse im sfl 1.OG nähe planufer u. admiralsbrücke,https://www.immobilienscout24.de/expose/115638816,1050.0,170.0,0.0,1220.0,3150.00,1 von 4,60.42,2,1.0,1.0,,True,1910.0,,Gepflegt,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,125.3,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10967 Berlin,,Kreuzberg,Kreuzberg,17.37835153922542,FrKr,Kreuz
13,sehr schöne 3 zi.-whg mit 2 terrassen EBK 2 bäder aufzug u. TG,https://www.immobilienscout24.de/expose/115637279,1760.0,311.9,0.0,2071.9,6215.70,2 von 5,107.33,3,2.0,2.0,True,True,2016.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10585 Berlin,,Charlottenburg,Charlottenburg,16.398024783378364,ChWi,Charl
14,4 zi-whg mit garten-terrasse EBK aufzug TG concierge gg berliner dom,https://www.immobilienscout24.de/expose/115633259,2194.94,637.6,0.0,2832.54,6584.82,1 von 8,159.4,4,2.0,1.0,True,True,2004.0,2018.0,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10178 Berlin,,Mitte,Mitte,13.770012547051444,Mitt,Mitte
15,1 zi-whg gipsstrasse ecke rosenththaler mit aufzug und EBK,https://www.immobilienscout24.de/expose/115530045,1375.0,200.0,0.0,1575.0,4125.00,4 von 7,55.0,1,1.0,1.0,True,True,1997.0,,Neuwertig,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10119 Berlin,,Mitte,Mitte,25.0,Mitt,Mitte
16,Waterside Living Berlin - Unvergleichbare 4 Zimmerwohnung an der Spree,https://www.immobilienscout24.de/expose/114508954,2650.0,350.0,,3000.0,4125.00,2,131.0,4,,,True,True,2019.0,,Erstbezug,,,,,,PRIMUS Immobilien AG | Vermietungsservice,"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10245 Berlin,,Friedrichshain,Friedrichshain,20.229007633587788,FrKr,Frhai
17,400€ Monatasmiete! Alle Kosten außer Strom!,https://www.immobilienscout24.de/expose/67077633,400.0,60.0,0.0,500.0,975,1 von 4,23.0,1,,,True,,2012.0,2017.0,Vollständig renoviert,Zentralheizung,Fernwärme-Dampf,liegt vor,Verbrauchsausweis,,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12459 Berlin,,Oberschöneweide,Köpenick,17.391304347826086,TrKö,Köpen
20,Wunderschöne Maisonette Wohnung in klassischer Stadtvilla sucht ruhige Mieter!,https://www.immobilienscout24.de/expose/115505355,1890.0,335.0,0.0,2225.0,3 Nettokaltmieten,2 von 3,145.0,4,3.0,2.0,,True,,,Erstbezug nach Sanierung,,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,13.03448275862069,StZe,Zehld
40,FÜNF MORGEN: Traumwohnung: Großzügige 2-Zimmer-Loftwohnung mit sonniger Dachterrasse,https://www.immobilienscout24.de/expose/109788587,1436.04,190.6,0.0,1626.64,5550.00,4 von 4,76.24,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,18.835781741867788,StZe,Zehld
41,Luxuriös möbliertes Penthouse mit Weitblick!,https://www.immobilienscout24.de/expose/115583569,1660.0,440.0,0.0,2100.0,4980.00,,75.0,2,1.0,1.0,True,True,2014.0,2018.0,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"10551 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10551 Berlin,,Tiergarten,Tiergarten,22.133333333333333,Mitt,Tierg
43,Stilvolle Single-Wohnung über den Dächern Berlins!,https://www.immobilienscout24.de/expose/115563037,1180.0,70.0,,1250.0,3540.00,5 von 5,62.0,1,,1.0,,True,1890.0,,Neuwertig,Fußbodenheizung,Gas,liegt vor,Verbrauchsausweis,,Engel & Völkers Berlin Mitte GmbH Charlottenstr. 4 10969 Berlin,"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10317 Berlin,,Lichtenberg,Lichtenberg,19.032258064516128,Lich,Liber
44,FÜNF MORGEN: Weitläufige Dachgeschosswohnung mit Terrasse und Balkon,https://www.immobilienscout24.de/expose/110018279,1573.9,207.58,0.0,1781.48,3540.00,3 von 3,83.03,2,,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,18.955799108755873,StZe,Zehld
45,"FÜNF MORGEN: Sonnige Studio-Wohnung mit 1,5-Zimmern und Loggia",https://www.immobilienscout24.de/expose/112097510,1006.75,158.28,0.0,1165.02,3540.00,2 von 4,63.31,"1,5",,,True,,2019.0,,Erstbezug,Fernwärme,Gas,,Bedarfsausweis,,Best Place Immobilien GmbH & Co. KG Unter den Linden 39 10117 Berlin,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14195 Berlin,,Dahlem,Zehlendorf,15.901911230453324,StZe,Zehld
