,Adresse,Ortsteil,Straße,Bezirk,Hausnummer,Wohnlage Einstufung
0,"Reinickendorfer Straße 4, 13447 Berlin, Wedding (Wedding)",Wedding,,Mitt,,
3,"Hedwig-Porschütz-Straße 2, 10557 Berlin, Tiergarten (Tiergarten)",Tiergarten,,Mitt,,
6,"Paul-Lincke-Ufer 8D, 10999 Berlin, Kreuzberg (Kreuzberg)",Kreuzberg,Paul-Lincke-Ufer,FrKr,,
8,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Kreuzberg,,FrKr,,
9,"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Charlottenburg,,ChWi,,
10,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Mitte,,Mitt,,
11,"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Mitte,,Mitt,,
12,"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Friedrichshain,,FrKr,,
13,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Oberschöneweide,,TrKö,,
14,"Groß-Berliner Damm 1, 12487 Berlin, Johannisthal (Treptow)",Johannisthal,,TrKö,,
16,"14195 Berlin, Dahlem (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Dahlem,,StZe,,
17,"Kastanienallee 86, 12627 Berlin, Hellersdorf (Hellersdorf)",Hellersdorf,Kastanienallee,MaHe,,
18,"Paula-Fürst-Str. 4, 10317 Berlin, Rummelsburg (Lichtenberg)",Rummelsburg,,Lich,,
19,"Grünauer Straße 119B, 12557 Berlin, Köpenick (Köpenick)",Köpenick,Grünauer Straße (Köpen),TrKö,,
20,"Müggelbergallee 5, 12557 Berlin, Köpenick (Köpenick)",Köpenick,,TrKö,,
21,"Metropolitan Park 52, 13591 Berlin, Staaken (Spandau)",Staaken,Metropolitan Park,Span,,
