Adresse,Anbieter,Ausstattung,Badezimmer,Balkon/ Terrasse,Baujahr,Bezugsfrei ab,Einbauküche,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Etage,Gesamtmiete,Heizkosten,Heizungsart,Kaltmiete,Kaution o. Genossenschaftsanteile,Modernisierung/ Sanierung,Nebenkosten,Objektzustand,Personenaufzug,Schlafzimmer,Titel,Url,Wesentliche Energieträger,Wohnfläche ca.,Zimmer,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
"Reinickendorfer Straße 4, 13447 Berlin, Wedding (Wedding)",German Prop Tech GmbH,,1.0,,1972.0,,True,,liegt vor,Verbrauchsausweis,,114.1,2 von 4,1265.4,72.0,Zentralheizung,979.4,2938.20,2016.0,179.0,Neuwertig,True,1.0,Nutzen Sie Ihre Chance - 2 Zimmerwohnung mit begehbaren Kleiderschrank in zentraler Lage,https://www.immobilienscout24.de/expose/114414026,Öl,78.0,2,Reinickendorfer Straße,13447 Berlin,4,Wedding,Wedding,12.556410256410256,Mitt,Weddg
"Leibnizstraße 85, 10625 Berlin, Charlottenburg (Charlottenburg)",first single apartment verwaltungs GmbH & Co. KG Bundesallee 28 10717 Berlin,,1.0,,2019.0,,True,,liegt zur Besichtigung vor,,,,3 von 6,995.0,0.0,Fernwärme,895.0,2685,,100.0,Erstbezug,True,,Komfort 1 Zimmer Apartment - Möbliert in Topcitylage!,https://www.immobilienscout24.de/expose/113507810,Fernwärme,30.97,1,Leibnizstraße,10625 Berlin,85,Charlottenburg,Charlottenburg,28.89893445269616,ChWi,Charl
"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,,1.0,,,,,,liegt vor,Bedarfsausweis,,,,996.09,0.0,Zentralheizung,798.98,2396.93,,197.11,Erstbezug,,1.0,Sofort bezugsfertig: 2-Zimmer-Wohnung mit Terrasse,https://www.immobilienscout24.de/expose/109379660,KWK fossil,67.71,2,Am Hohen Feld,13125 Berlin,125A,Karow,Weißensee,11.800029537734456,Pank,Weißs
"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,,1.0,,,,,,liegt vor,Bedarfsausweis,,,,1416.09,0.0,Zentralheizung,1158.95,3476.85,,257.14,Erstbezug,,2.0,Sofort bezugsfertig: 3-Zimmer-Dachgeschosswohnung mit Balkon,https://www.immobilienscout24.de/expose/111945160,KWK fossil,89.15,3,Am Hohen Feld,13125 Berlin,125A,Karow,Weißensee,13.0,Pank,Weißs
"Hedwig-Porschütz-Straße 2, 10557 Berlin, Tiergarten (Tiergarten)",ADLER Wohnen Service GmbH Gänsemarkt 50 20354 Hamburg,,2.0,,2019.0,,True,,liegt vor,Bedarfsausweis,,,4 von 5,1693.3,82.0,Fernwärme,1447.3,2895,2019.0,164.0,Erstbezug,True,2.0,"*Balkon*, *EBK*, *Erstbezug*, Tolle 3 Zi. Whg.",https://www.immobilienscout24.de/expose/115629249,Fernwärme,82.0,3,Hedwig-Porschütz-Straße,10557 Berlin,2,Tiergarten,Tiergarten,17.65,Mitt,Tierg
"Schulenburgring 125, 12101 Berlin, Tempelhof (Tempelhof)",Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,,,,1956.0,,,,liegt vor,Verbrauchsausweis,,159.0,4,604.0,0.0,Zentralheizung,503.0,3 x Nettokaltmiete,,101.0,Modernisiert,,,Lichtdurchflutetes Appartement - Tageslichtbad - Laminat - Balkon - 604 € warm,https://www.immobilienscout24.de/expose/100591334,Gas,38.48,1,Schulenburgring,12101 Berlin,125,Tempelhof,Tempelhof,13.071725571725572,TSch,Temp
"Richard- Sorge- Straße 10, 10249 Berlin, Friedrichshain (Friedrichshain)",wfi- Wohlfühlimmobilien Thomas- Müntzer- Damm 15 14532 Kleinmachnow,,1.0,,2010.0,,True,,liegt vor,Verbrauchsausweis,,,5 von 1,1640.0,140.0,Zentralheizung,1290.0,3 NKM,2009.0,210.0,Modernisiert,True,2.0,Eine Perle mit modernem Grundriss,https://www.immobilienscout24.de/expose/115502827,Fernwärme,91.89,3,Richard-Sorge-Straße,10249 Berlin,10,Friedrichshain,Friedrichshain,14.038524322559581,FrKr,Frhai
"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)",BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,,1.0,,,,True,,liegt zur Besichtigung vor,,,,2 von 7,1002.0,87.0,Fußbodenheizung,799.0,3 Nettokaltmieten Kaution,,116.0,Erstbezug,True,2.0,KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632638,,72.56,3,Martin-Riesenburger-Straße,12627 Berlin,38,Hellersdorf,Hellersdorf,11.011576626240352,MaHe,Helld
"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)",BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,,1.0,,,,True,,liegt zur Besichtigung vor,,,,1 von 7,990.0,86.0,Fußbodenheizung,789.0,3 Nettokaltmieten Kaution,,115.0,Erstbezug,True,2.0,KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632745,,72.18,3,Martin-Riesenburger-Straße,12627 Berlin,38,Hellersdorf,Hellersdorf,10.931005818786366,MaHe,Helld
"Paul-Lincke-Ufer 8D, 10999 Berlin, Kreuzberg (Kreuzberg)",PORZIG IMMOBILIEN GmbH Franz-Mehring-Straße 9 09112 Chemnitz,,,,1910.0,,,,liegt vor,Verbrauchsausweis,,,4,2950.0,0.0,Zentralheizung,2550.0,7650.00,,400.0,Neuwertig,,,++Stilvolles Loft in den Paul-Lincke-Höfen mit EBK++,https://www.immobilienscout24.de/expose/114122495,Fernwärme,170.0,3,Paul-Lincke-Ufer,10999 Berlin,8D,Kreuzberg,Kreuzberg,15.0,FrKr,Kreuz
"Cauerstrasse 25, 10587 Berlin, Charlottenburg (Charlottenburg)",SchönLife Immobilien Wielandstraße 12 10629 Berlin,,1.0,,1905.0,,True,,liegt vor,Verbrauchsausweis,,,5 von 5,2105.0,0.0,Zentralheizung,1785.0,5355.00,2011.0,320.0,Vollständig renoviert,True,2.0,"Hochwertiges DG im gepflegten Altbau! **Besichtigung: Mi., 29.01. / 18:30 Uhr**",https://www.immobilienscout24.de/expose/115172918,Fernwärme,119.0,4,Cauerstraße,10587 Berlin,25,Charlottenburg,Charlottenburg,15.0,ChWi,Charl
"Berolinastr. 7c, 10178 Berlin, Mitte (Mitte)",B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde,,2.0,,2017.0,,True,,liegt vor,Bedarfsausweis,,,2 von 7,2156.08,0.0,Fernwärme,1726.08,5178.24,,300.0,Neuwertig,True,3.0,4 Zimmer am Alex,https://www.immobilienscout24.de/expose/97546389,,119.04,4,Berolinastraße,10178 Berlin,7C,Mitte,Mitte,14.499999999999998,Mitt,Mitte
"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,,1.0,,1910.0,,True,,liegt vor,Verbrauchsausweis,,125.3,1 von 4,1220.0,0.0,Zentralheizung,1050.0,3150.00,,170.0,Gepflegt,,1.0,2 zi-whg in der böckhstrasse im sfl 1.OG nähe planufer u. admiralsbrücke,https://www.immobilienscout24.de/expose/115638816,Öl,60.42,2,,10967 Berlin,,Kreuzberg,Kreuzberg,17.37835153922542,FrKr,Kreuz
"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,,2.0,,2016.0,,True,,liegt vor,Bedarfsausweis,,,2 von 5,2071.9,0.0,Zentralheizung,1760.0,6215.70,,311.9,Neuwertig,True,2.0,sehr schöne 3 zi.-whg mit 2 terrassen EBK 2 bäder aufzug u. TG,https://www.immobilienscout24.de/expose/115637279,Fernwärme,107.33,3,,10585 Berlin,,Charlottenburg,Charlottenburg,16.398024783378364,ChWi,Charl
"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,,1.0,,2004.0,,True,,liegt vor,Bedarfsausweis,,,1 von 8,2832.54,0.0,Zentralheizung,2194.94,6584.82,2018.0,637.6,Neuwertig,True,2.0,4 zi-whg mit garten-terrasse EBK aufzug TG concierge gg berliner dom,https://www.immobilienscout24.de/expose/115633259,Fernwärme,159.4,4,,10178 Berlin,,Mitte,Mitte,13.770012547051444,Mitt,Mitte
"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,,1.0,,1997.0,,True,,liegt vor,Verbrauchsausweis,,,4 von 7,1575.0,0.0,Zentralheizung,1375.0,4125.00,,200.0,Neuwertig,True,1.0,1 zi-whg gipsstrasse ecke rosenththaler mit aufzug und EBK,https://www.immobilienscout24.de/expose/115530045,Gas,55.0,1,,10119 Berlin,,Mitte,Mitte,25.0,Mitt,Mitte
"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",PRIMUS Immobilien AG | Vermietungsservice,,,,2019.0,,True,,,,,,2,3000.0,,,2650.0,4125.00,,350.0,Erstbezug,True,,Waterside Living Berlin - Unvergleichbare 4 Zimmerwohnung an der Spree,https://www.immobilienscout24.de/expose/114508954,,131.0,4,,10245 Berlin,,Friedrichshain,Friedrichshain,20.229007633587788,FrKr,Frhai
"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,,,,2012.0,,,,liegt vor,Verbrauchsausweis,,,1 von 4,500.0,0.0,Zentralheizung,400.0,975,2017.0,60.0,Vollständig renoviert,True,,400€ Monatasmiete! Alle Kosten außer Strom!,https://www.immobilienscout24.de/expose/67077633,Fernwärme-Dampf,23.0,1,,12459 Berlin,,Oberschöneweide,Köpenick,17.391304347826086,TrKö,Köpen
"Groß-Berliner Damm 1, 12487 Berlin, Johannisthal (Treptow)",Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,,1.0,,2019.0,,True,,liegt zur Besichtigung vor,,,,2 von 5,590.0,0.0,Fernwärme,470.0,2000,,120.0,Erstbezug,True,1.0,Im neuen Jahr in die neue Wohnung,https://www.immobilienscout24.de/expose/114977577,,31.0,1,Groß-Berliner Damm,12487 Berlin,1,Johannisthal,Alt-Treptow,15.161290322580646,TrKö,Alttr
"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)",allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,,1.0,,,,,,liegt vor,Bedarfsausweis,,,2 von 4,993.35,0.0,Zentralheizung,799.32,2397.96,,194.03,Erstbezug,,1.0,Sofort bezugsfertig: Tolle 2-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/109894326,KWK fossil,66.61,2,Am Hohen Feld,13125 Berlin,125A,Karow,Weißensee,12.0,Pank,Weißs
