,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²,straße,bezirk,gebietsstand,hausnummer,buchstabe,wohnlage_einstufung,lage_im_stadtgebiet,ortsteil
0,Click.Book.Live: Vollmöbliertes Single-Studio für Studenten,https://www.immobilienscout24.de/expose/115320929,538.0,177.0,0.0,715.0,1614,,19.0,1,1.0,1.0,True,True,2014.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,International Campus GmbH Blumenstraße 28 80331 München,"Köpenicker Straße 43, 10179 Berlin, Mitte (Mitte)",Köpenicker Straße,10179 Berlin,Mitte (Mitte),43,Mitte,28.31578947368421,Köpenicker Straße,Mitt,O,43,F,mittel *,Z,Mitte
1,"Pankow! Gemütliche 3,5 Zimmerwohnung an der Schönholzer Heide - Laminat - Balkon - Eckbadewanne",https://www.immobilienscout24.de/expose/75171304,950.0,226.0,0.0,1176.0,3 x Nettokaltmiete,3,97.0,"3,5",,,,,1900.0,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,140.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Straße vor Schönholz 26, 13158 Berlin, Niederschönhausen (Pankow)",Straße vor Schönholz,13158 Berlin,Niederschönhausen (Pankow),26,Pankow,9.793814432989691,Straße vor Schönholz,Pank,O,26,F,mittel *,D,Pankow
2,Maisonette- Wohnung mit 56 qm Wohnraum und 35 qm Hobbyraum,https://www.immobilienscout24.de/expose/115376573,889.0,410.0,0.0,1299.0,Kaution: 2667.00,0,91.0,"3,5",,,,True,1994.0,,Vollständig renoviert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Ruppiner Chaussee 297, 13503 Berlin, Heiligensee (Reinickendorf)",Ruppiner Chaussee,13503 Berlin,Heiligensee (Reinickendorf),297,Reinickendorf,9.76923076923077,Ruppiner Chaussee,Rein,W,297,U,mittel*,D,Reinickendorf
3,Maisonette- Wohnung mit 56 qm Wohnraum und 35 qm Hobbyraum,https://www.immobilienscout24.de/expose/115376573,889.0,410.0,0.0,1299.0,Kaution: 2667.00,0,91.0,"3,5",,,,True,1994.0,,Vollständig renoviert,Zentralheizung,Gas,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Ruppiner Chaussee 297, 13503 Berlin, Heiligensee (Reinickendorf)",Ruppiner Chaussee,13503 Berlin,Heiligensee (Reinickendorf),297,Reinickendorf,9.76923076923077,Ruppiner Chaussee,Rein,W,297,G,mittel *,D,Reinickendorf
4,*großzügiges DG Loft mit Terrasse nahe Hackescher Markt*,https://www.immobilienscout24.de/expose/115219703,2000.0,270.0,125.0,2395.0,6000,5 von 5,138.0,1,,1.0,True,True,1918.0,2019.0,Erstbezug nach Sanierung,,Gas,,Verbrauchsausweis,,core ImmobilienManagement GmbH Markgrafenstr. 22 10117 Berlin,"Alte Schönhauser Straße 38, 10119 Berlin, Mitte (Mitte)",Alte Schönhauser Straße,10119 Berlin,Mitte (Mitte),38,Mitte,14.492753623188406,Alte Schönhauser Straße,Mitt,O,38,F,gut *,Z,Mitte
5,"Exklusive 5 Zimmer Maisonette-Wohnung mit gehobener Ausstattung, EBK, 2 Außenstellplätze",https://www.immobilienscout24.de/expose/115420878,2450.0,580.0,0.0,3030.0,3 NKM,1 von 2,193.5,5,4.0,2.0,,True,1918.0,2015.0,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Brenta Real GmbH & Co. KG Wiltbergstraße 90 13125 Berlin,"Wiltbergstraße 90, 13125 Berlin, Buch (Pankow)",Wiltbergstraße,13125 Berlin,Buch (Pankow),90,Pankow,12.661498708010337,Wiltbergstraße,Pank,O,90,G,mittel *,D,Pankow
6,Lichtenberg! Schicke 2 Zimmerwohnung ca. 63 m² - Balkon - Tageslicht Wannenbad - 799 € warm,https://www.immobilienscout24.de/expose/101477241,646.0,153.0,0.0,799.0,3x Nettokaltmiete,1 von 4,62.81,2,,,,,1910.0,,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,89.0,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Alt-Friedrichsfelde 122, 10315 Berlin, Friedrichsfelde (Lichtenberg)",Alt-Friedrichsfelde,10315 Berlin,Friedrichsfelde (Lichtenberg),122,Lichtenberg,10.284986467123069,Alt-Friedrichsfelde,Lich,O,122,F,einfach *,D,Lichtenberg
7,Wunderschöne neuerstellte Wohnung,https://www.immobilienscout24.de/expose/114724263,2090.0,200.0,200.0,2490.0,6270,1 von 5,143.97,4,3.0,2.0,True,True,1900.0,2020.0,Erstbezug nach Sanierung,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,97.0,Stuck & Füting Immobilienconsult,"Scharnhorststraße 25, 10115 Berlin, Mitte (Mitte)",Scharnhorststraße,10115 Berlin,Mitte (Mitte),25,Mitte,14.5169132458151,Scharnhorststraße,Mitt,O,25,F,mittel,Z,Mitte
8,"Neubau! 2 Zimmer, 2 Dachterrassen - Ein Traum von Wohnung wartet auf Sie!",https://www.immobilienscout24.de/expose/115203770,920.0,215.0,0.0,1135.0,2760.00,4 von 4,71.63,2,1.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),78,Pankow,12.843780538880358,Nantesstraße,Pank,O,78,U,mittel,D,Pankow
9,"Neubau! 2 Zimmer, 2 Dachterrassen - Ein Traum von Wohnung wartet auf Sie!",https://www.immobilienscout24.de/expose/115203770,920.0,215.0,0.0,1135.0,2760.00,4 von 4,71.63,2,1.0,1.0,True,True,2019.0,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)",Nantesstraße,13127 Berlin,Französisch Buchholz (Pankow),78,Pankow,12.843780538880358,Nantesstraße,Pank,O,78,G,mittel,D,Pankow
