Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Typ,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Badezimmer,Balkon/ Terrasse,Personenaufzug,Wohnberechtigungsschein erforderlich,Baujahr,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Anbieter,Adreese
"Spandau-Hakenfelde: 1,5-Zimmer, renoviert!",https://www.immobilienscout24.de/expose/114217033,423 €,100 €,50 €,573 €,"1.269,00 €",Etagenwohnung,5,"58,6 m²",Sofort,"1,1",1,True,True,True,1972,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,Becker & Kries Immobilien Management GmbH,"Am Forstacker 29, 13587 Berlin, Spandau (Spandau)"
Die ersten drei Monate zahlen Sie nur Nebenkosten! Top Singlewohnung!,https://www.immobilienscout24.de/expose/114901835,480 €,141 €,in Nebenkosten enthalten,621 €,"960,00",Etagenwohnung,4 von 4,"42,61 m²",sofort,1,1,,,,1900,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Hönower Str. 189, 12623 Berlin, Mahlsdorf (Hellersdorf)"
"schöne 2-zi-whg mit 2 terrassen, großen fenstern EBK u. aufzug erstbezug",https://www.immobilienscout24.de/expose/114289429,1.998 €,253 €,in Nebenkosten enthalten,2.251 €,"5.994,00 EUR",Etagenwohnung,3 von 5,"79,05 m²",sofort,2,1,True,True,,2019,Zentralheizung,Gas,,Verbrauchsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
sehr schöne 4-zi-maisonette-loft-garten-whg mit großer terrasse u. EBK,https://www.immobilienscout24.de/expose/114294909,4.680 €,720 €,in Nebenkosten enthalten,5.400 €,"14.040,00 EUR",Etagenwohnung,1 von 5,225 m²,sofort,4,2,True,,,1918,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
schöne möblierte 2 zi-whg mit EBK balkon und aufzug im 2. og,https://www.immobilienscout24.de/expose/115433874,1.500 €,230 €,in Nebenkosten enthalten,1.730 €,"4.500,00 EUR",Etagenwohnung,2 von 6,68 m²,sofort,2,1,True,True,,2013,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10115 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
schöne 3-zi-terrassen-whg mit großen fenstern EBK u. aufzug erstbezug,https://www.immobilienscout24.de/expose/114294891,2.490 €,322 €,in Nebenkosten enthalten,2.812 €,"7.470,00 EUR",Etagenwohnung,2 von 5,"100,7 m²",sofort,3,1,True,True,,2019,Zentralheizung,Gas,,Verbrauchsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Vollmöblierte Wohnung am Lokdepot!,https://www.immobilienscout24.de/expose/115025698,1.799 €,450 €,in Nebenkosten enthalten,2.249 €,5397,Etagenwohnung,3 von 5,115 m²,sofort,3,2,True,True,,2016,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Am Lokdepot 13, 10965 Berlin, Kreuzberg (Kreuzberg)"
You only have to move in here because I am fully furnished !!,https://www.immobilienscout24.de/expose/115507983,1.299 €,190 €,in Nebenkosten enthalten,1.489 €,4197,Etagenwohnung,4 von 6,"73,41 m²",now,2,1,,True,,1901,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Paul-Robeson-Strasse 43, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Gesundbrunnen! Charmante 2 Zimmer - moderne Ausstattung - Garten - ca. 59 m² - 730 € zzgl. HK,https://www.immobilienscout24.de/expose/92879336,645 €,85 €,0 €,730 €,3 x Nettokaltmiete,Erdgeschosswohnung,0,"58,64 m²",01.03.2020,2,,True,,,1912,Etagenheizung,Gas,liegt vor,Bedarfsausweis,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Grüntaler Straße 27-28, 13357 Berlin, Wedding (Wedding)"
Lichtenberg! Schicke 2 Zimmerwohnung ca. 63 m² - Balkon - Tageslicht Wannenbad - 799 € warm,https://www.immobilienscout24.de/expose/101477241,646 €,153 €,inkl. 60 €,799 €,3x Nettokaltmiete,Etagenwohnung,1 von 4,"62,81 m²",sofort,2,,True,,,1910,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Alt-Friedrichsfelde 122, 10315 Berlin, Friedrichsfelde (Lichtenberg)"
Einzigartiges Loft am Ufer vom Entwickler des Soho-House Hotels,https://www.immobilienscout24.de/expose/76023177,1.370 €,160 €,75 €,1.605 €,3 NKM,Loft,4 von 4,"67,83 m²",01.01.2020,2,1,True,True,,,Fernwärme,Fernwärme,liegt vor,,Rudi-Dutschke-Str. 26 10969 Berlin,"Planufer 92b, 10967 Berlin, Kreuzberg (Kreuzberg)"
Klimatisiertes Penthouse am Ufer mit Dachterrasse vom Entwickler des Soho-House Hotels,https://www.immobilienscout24.de/expose/76025013,2.499 €,230 €,120 €,2.849 €,3 nkm,Penthouse,5 von 5,"125,28 m²",01.01.2020,3,1,True,True,,,Fernwärme,Fernwärme,liegt vor,,Rudi-Dutschke-Str. 26 10969 Berlin,"Planufer 92b, 10967 Berlin, Kreuzberg (Kreuzberg)"
Modernes Wohnen am Park - 3 Zimmer mit S/W Balkon,https://www.immobilienscout24.de/expose/85029910,"1.686,60 €",313 €,in Nebenkosten enthalten,"1.999,60 €","5.058,00 EUR",Etagenwohnung,6 von 7,"112,44 m²",01.02.2020,3,2,True,True,,2015,Fernwärme,,liegt vor,Bedarfsausweis,B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde OT Eiche,"Flottwellstr. 44, 10785 Berlin, Tiergarten (Tiergarten)"
Traumhafte 4-Zimmer-Wohnung im EG mit Terrasse und Privatgarten,https://www.immobilienscout24.de/expose/114535364,"2.151,66 €","267,34 €","106,93 €","2.525,93 €",6454.98,Etagenwohnung,0 von 5,"153,69 m²",sofort,4,2,True,True,,2009,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Galenusstr. 63 B, 13187 Berlin, Pankow (Pankow)"
Wunderschöne neuerstellte Wohnung,https://www.immobilienscout24.de/expose/114724263,2.090 €,200 €,200 €,2.490 €,6270,Terrassenwohnung,1 von 5,"143,97 m²",01.02.2020,4,2,True,True,,1900,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,Stuck & Füting Immobilienconsult,"Scharnhorststraße 25, 10115 Berlin, Mitte (Mitte)"
Zum Anfang des Jahres kommen die Schmuckstücke ans Tageslicht.....,https://www.immobilienscout24.de/expose/114446618,1.993 €,143 €,110 €,2.246 €,3 Nettokaltmieten,Dachgeschoss,4 von 4,"128,56 m²",01.01.2020,3,1,True,,,1895,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,"Peggy Matusch, V-V-S-Management Skladanowskystr. 1 13156 Berlin","Moselstraße 7-8, 12159 Berlin, Friedenau (Schöneberg)"
Kudammnähe - Erstbezug nach umfassender Sanierung in der Niebuhrstraße 61 - Aufzug-EBK-Parkett-Stuck,https://www.immobilienscout24.de/expose/113353445,2.584 €,214 €,204 €,3.002 €,,Etagenwohnung,3,"163,19 m²",Sofort,5,2,True,True,,1900,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Niebuhrstraße 61, 10629 Berlin, Charlottenburg (Charlottenburg)"
Bright 3-room old apartment in Weddinger neighborhood!,https://www.immobilienscout24.de/expose/115406398,1.499 €,"322,50 €",in Nebenkosten enthalten,"1.821,50 €",4497,Etagenwohnung,3 von 5,129 m²,now,3,1,True,,,1906,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,Living in Berlin e.K. Hönower Straße 72 12623 Berlin,"Brüsseler Str. 11, 13353 Berlin, Wedding (Wedding)"
Erstbezug ab August 2020: moderne 2-Zimmer-Wohnung in Berlin-Pankow mit Balkon im 1. OG,https://www.immobilienscout24.de/expose/115545018,850 €,180 €,in Nebenkosten enthalten,1.030 €,2550,Etagenwohnung,1 von 3,"59,57 m²",01.08.2020,2,1,True,,,2019,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)"
"Neubau! 2 Zimmer, 2 Dachterrassen - Ein Traum von Wohnung wartet auf Sie!",https://www.immobilienscout24.de/expose/115203770,920 €,215 €,in Nebenkosten enthalten,1.135 €,"2760,00",Dachgeschoss,4 von 4,"71,63 m²",01.03.2020,2,1,True,True,,2019,Fußbodenheizung,,liegt vor,Bedarfsausweis,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)"
Lichtdurchflutetes Appartement - Tageslichtbad - Laminat - Balkon - 604 € warm,https://www.immobilienscout24.de/expose/100591334,503 €,101 €,inkl. 28 €,604 €,3 x Nettokaltmiete,Etagenwohnung,4,"38,48 m²",01.03.2020,1,,True,,,1956,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Schulenburgring 125, 12101 Berlin, Tempelhof (Tempelhof)"
Sofort bezugsfertig: 3-Zimmer-Dachgeschosswohnung mit Balkon,https://www.immobilienscout24.de/expose/111945160,"1.158,95 €","257,14 €",in Nebenkosten enthalten,"1.416,09 €","3.476,85 EUR",Dachgeschoss,,"89,15 m²",sofort,3,1,True,,,,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Achillesstraße 55 13125 Berlin,"Am Hohen Feld 125a , 13125 Berlin, Karow (Weißensee)"
KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632638,799 €,116 €,87 €,1.002 €,3 Nettokaltmieten Kaution,Etagenwohnung,2 von 7,"72,56 m²",sofort,3,1,True,True,,,Fußbodenheizung,,liegt zur Besichtigung vor,,BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)"
4 Zimmer am Alex,https://www.immobilienscout24.de/expose/97546389,"1.726,08 €",300 €,in Nebenkosten enthalten,"2.156,08 €","5.178,24 EUR",Etagenwohnung,2 von 7,"119,04 m²",01.06.2020,4,2,True,True,,2017,Fernwärme,,liegt vor,Bedarfsausweis,B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde,"Berolinastr. 7c, 10178 Berlin, Mitte (Mitte)"
++Stilvolles Loft in den Paul-Lincke-Höfen mit EBK++,https://www.immobilienscout24.de/expose/114122495,2.550 €,400 €,in Nebenkosten enthalten,2.950 €,"7.650,00 EUR",Loft,4,170 m²,sofort,3,,,,,1910,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,PORZIG IMMOBILIEN GmbH Franz-Mehring-Straße 9 09112 Chemnitz,"Paul-Lincke-Ufer 8D, 10999 Berlin, Kreuzberg (Kreuzberg)"
KOMFORTABEL WOHNEN IM ERSTBEZUG,https://www.immobilienscout24.de/expose/115632745,789 €,115 €,86 €,990 €,3 Nettokaltmieten Kaution,Etagenwohnung,1 von 7,"72,18 m²",sofort,3,1,True,True,,,Fußbodenheizung,,liegt zur Besichtigung vor,,BONAVA Deutschland GmbH Hattwichstraße 83 16548 Glienicke,"Martin-Riesenburger-Straße 38, 12627 Berlin, Hellersdorf (Hellersdorf)"
sehr schöne 3 zi.-whg mit 2 terrassen EBK 2 bäder aufzug u. TG,https://www.immobilienscout24.de/expose/115637279,1.760 €,"311,90 €",in Nebenkosten enthalten,"2.071,90 €","6.215,70 EUR",Etagenwohnung,2 von 5,"107,33 m²",sofort,3,2,True,True,,2016,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
2 zi-whg in der böckhstrasse im sfl 1.OG nähe planufer u. admiralsbrücke,https://www.immobilienscout24.de/expose/115638816,1.050 €,170 €,in Nebenkosten enthalten,1.220 €,"3.150,00 EUR",Etagenwohnung,1 von 4,"60,42 m²",01.02.2020,2,1,,,,1910,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Hochwertiges DG im gepflegten Altbau! **Besichtigung: Mi., 29.01. / 18:30 Uhr**",https://www.immobilienscout24.de/expose/115172918,1.785 €,320 €,in Nebenkosten enthalten,2.105 €,"5.355,00 EUR",Dachgeschoss,5 von 5,119 m²,ab 15.02.2020,4,1,True,True,,1905,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,SchönLife Immobilien Wielandstraße 12 10629 Berlin,"Cauerstrasse 25, 10587 Berlin, Charlottenburg (Charlottenburg)"
4 zi-whg mit garten-terrasse EBK aufzug TG concierge gg berliner dom,https://www.immobilienscout24.de/expose/115633259,"2.194,94 €","637,60 €",in Nebenkosten enthalten,"2.832,54 €","6.584,82 EUR",Etagenwohnung,1 von 8,"159,4 m²",01.03.2020,4,1,True,True,,2004,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,reco Immobilienbüro petra hubertus schumannstraße 1berta 10117 Berlin,"10178 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Im neuen Jahr in die neue Wohnung,https://www.immobilienscout24.de/expose/114977577,470 €,120 €,in Nebenkosten enthalten,590 €,2000,Etagenwohnung,2 von 5,31 m²,,1,1,,True,,2019,Fernwärme,,liegt zur Besichtigung vor,,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"Groß-Berliner Damm 1, 12487 Berlin, Johannisthal (Treptow)"
Nutzen Sie Ihre Chance - 2 Zimmerwohnung mit begehbaren Kleiderschrank in zentraler Lage,https://www.immobilienscout24.de/expose/114414026,"979,40 €",179 €,72 €,"1.265,40 €","2.938,20 €",,2 von 4,78 m²,,2,1,,True,,1972,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,German Prop Tech GmbH,"Reinickendorfer Straße 4, 13447 Berlin, Wedding (Wedding)"
1 zi-whg gipsstrasse ecke rosenththaler mit aufzug und EBK,https://www.immobilienscout24.de/expose/115530045,1.375 €,200 €,in Nebenkosten enthalten,1.575 €,"4.125,00 EUR",Etagenwohnung,4 von 7,55 m²,sofort,1,1,,True,,1997,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10119 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
400€ Monatasmiete! Alle Kosten außer Strom!,https://www.immobilienscout24.de/expose/67077633,400 €,60 €,inkl. 40 €,500 €,975,Etagenwohnung,1 von 4,23 m²,20.01.2020,1,,,True,,2012,Zentralheizung,Fernwärme-Dampf,liegt vor,Verbrauchsausweis,Östereich Haus Verwaltungs-und Beteiligungs GmbH Slabystr. 17 12459 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Großzügiges Maisonette Penthouse mit Südwest-Dachterrasse und Spreeblick,https://www.immobilienscout24.de/expose/115005513,3.196 €,677 €,in Nebenkosten enthalten,3.873 €,,Penthouse,6 von 6,230 m²,Sofort,6,3,True,True,,2002,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Helgoländer Ufer 7, 10557 Berlin, Tiergarten (Tiergarten)"
Außergewöhnliche Luxus-Dachgeschoßwohnung im Joseph Haydn Palais mit Weitblick über Berlin,https://www.immobilienscout24.de/expose/114913695,3.950 €,550 €,in Nebenkosten enthalten,4.500 €,,Penthouse,5 von 5,230 m²,Sofort,4,2,True,True,,1887,Zentralheizung,,laut Gesetz nicht erforderlich,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Joseph-Haydn-Straße 1, 10557 Berlin, Tiergarten (Tiergarten)"
1-Zimmer-Wohnung in Adlershof | Verfügbar ab sofort,https://www.immobilienscout24.de/expose/115506358,550 €,45 €,45 €,640 €,"1650,00",,2 von 5,"28,9 m²",ab sofort,1,1,True,True,,2014,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,B-home Hausverwaltung GmbH Mehringdamm 33 10691 Berlin,"Dörpfeldstraße 5, 12489 Berlin, Adlershof (Treptow)"
Waterside Living Berlin - Unvergleichbare 4 Zimmerwohnung an der Spree,https://www.immobilienscout24.de/expose/114508954,2.650 €,350 €,keine Angabe,3.000 € (zzgl. Heizkosten),,Etagenwohnung,2,131 m²,15.02.2019,4,,True,True,,2019,,,,,PRIMUS Immobilien AG | Vermietungsservice,"10245 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Neukölln - Charmante 1Zimmerwohnung - neu Saniertes - Laminat - ca. 35 m² - 588 warm,https://www.immobilienscout24.de/expose/115612167,491 €,97 €,inkl. 26 €,588 €,3 x Nettokaltmiete,Etagenwohnung,1,"34,42 m²",Sofort,1,,,,,1956,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Harzerstr. 82, 12059 Berlin, Neukölln (Neukölln)"
"3-Zimmer-Wohnung mit Balkon, Wannenbad und Gäste-WC",https://www.immobilienscout24.de/expose/114185817,"1.581,30 €","269,92 €","91,40 €","1.942,62 €",4743.90,Etagenwohnung,3 von 5,"112,95 m²",sofort,3,2,True,True,,2007,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Paula-Fürst-Str. 4, 10317 Berlin, Rummelsburg (Lichtenberg)"
Click.Book.Live: Vollmöbliertes Single-Studio für Studenten,https://www.immobilienscout24.de/expose/115320929,538 €,177 €,in Nebenkosten enthalten,715 €,1.614,Etagenwohnung,,19 m²,01.04.2020,1,1,,True,,2014,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,International Campus GmbH Blumenstraße 28 80331 München,"Köpenicker Straße 43, 10179 Berlin, Mitte (Mitte)"
Traumhafte Lage am Ufer der Dahme,https://www.immobilienscout24.de/expose/115609106,"732,15 €",250 €,in Nebenkosten enthalten,"1.027,15 €","2.196,45 Euro (Ratenzahlung möglich)",Etagenwohnung,3,"79,05 m²",sofort,3,1,True,True,,1998,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH Winckelmannstraße 3-5 12487 Berlin,"Grünauer Straße 119B, 12557 Berlin, Köpenick (Köpenick)"
Maisonette- Wohnung mit 56 qm Wohnraum und 35 qm Hobbyraum,https://www.immobilienscout24.de/expose/115376573,889 €,410 €,inkl. 250 €,1.299 €,"Kaution: 2.667,00",Maisonette,0,91 m²,sofort,"3,5",,True,,,1994,Zentralheizung,Gas,,Verbrauchsausweis,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Ruppiner Chaussee 297, 13503 Berlin, Heiligensee (Reinickendorf)"
**Citywohnung in schöner Lage**,https://www.immobilienscout24.de/expose/110241561,"1.387,36 €","228,79 €","95,68 €","1.710,10 €",3 Momatsmieten,Etagenwohnung,4 von 8,"95,68 m²",sofort,2,1,True,True,,1992,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,Thelen Immobilien Management GmbH Alfredstr. 150 45131 Essen,"Meinekestraße 21, 10719 Berlin, Charlottenburg (Charlottenburg)"
"Pankow! Gemütliche 3,5 Zimmerwohnung an der Schönholzer Heide - Laminat - Balkon - Eckbadewanne",https://www.immobilienscout24.de/expose/75171304,950 €,226 €,inkl. 105 €,1.176 €,3 x Nettokaltmiete,Etagenwohnung,3,97 m²,01.03.2020,"3,5",,True,,,1900,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Straße vor Schönholz 26, 13158 Berlin, Niederschönhausen (Pankow)"
Luxus Wohnung in Top-Lage am Ku-Damm!,https://www.immobilienscout24.de/expose/114849096,"2.555,43 €",530 €,"98,21 €","3.183,64 €",7666.29,Etagenwohnung,6,"115,84 m²",01.03.2020,"2,5",1,True,True,,2012,Fernwärme,,liegt vor,Bedarfsausweis,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Lietzenburger Str. 101, 10707 Berlin, Wilmersdorf (Wilmersdorf)"
Beeindruckende 3-Zimmer-Wohnung mit 2 Bädern,https://www.immobilienscout24.de/expose/115374427,"2.001,02 €","213,32 €","83,30 €","2.297,64 €",6003.06,Etagenwohnung,3 von 6,"132,87 m²",sofort,3,2,True,True,,2009,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Seydelstr. 21, 10117 Berlin, Mitte (Mitte)"
Lichtdurchflutete 3 Zimmerwohnung mit Südbalkon,https://www.immobilienscout24.de/expose/115374428,"1.516,62 €","196,75 €","61,92 €","1.775,29 €",4549.86,Etagenwohnung,1 von 5,"108,33 m²",sofort,3,1,True,True,,2009,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Galenusstr. 63 B, 13187 Berlin, Pankow (Pankow)"
