,Bezirk,Ortsteil,Ortsteil Abkürzung
0,ChWi,Charlottenburg-Wilme,rsdorf
1,,Charlottenburg,Charl
2,,Charlottenburg-Nord,CharN
3,,Grunewald,Grune
4,,Halensee,Halen
5,,Schmargendorf,Schma
6,,Westend,Weste
7,,Wilmersdorf,Wilmd
8,FrKr,Friedrichshain-Kreuzb,erg
9,,Friedrichshain,Frhai
10,,Kreuzberg,Kreuz
11,Lich,Lichtenberg,
12,,Alt-Hohenschönhause,n AHohs
13,,Falkenberg,Falkb
14,,Fennpfuhl,Fenpf
15,,Friedrichsfelde,Frife
16,,Karlshorst,Karlh
17,,Lichtenberg,Liber
18,,Malchow,Malch
19,,Neu-Hohenschönhaus,en NHohs
20,,Rummelsburg,Rumbg
21,,Wartenberg,Wartb
22,MaHe,Marzahn-Hellersdorf,
23,,Biesdorf,Biesd
24,,Hellersdorf,Helld
25,,Kaulsdorf,Kauld
26,,Mahlsdorf,Mahld
27,,Marzahn,Marza
28,Mitt,Mitte,
29,,Gesundbrunnen,Gesbr
30,,Hansaviertel,Hansa
31,,Mitte,Mitte
32,,Moabit,Moabi
33,,Tiergarten,Tierg
34,,Wedding,Weddg
35,Neuk,Neukölln,
36,,Britz,Britz
37,,Buckow,Buckw
38,,Gropiusstadt,Grops
39,,Neukölln,Neukö
40,,Rudow,Rudow
0,Pank,Pankow,
1,,Blankenburg,Blanb
2,,Blankenfelde,Blanf
3,,Buch,Buch
4,,Französisch Buchholz,FrzBu
5,,Heinersdorf,Heind
6,,Karow,Karow
7,,Niederschönhausen,Nieds
8,,Pankow,Panko
9,,Prenzlauer Berg,Prenz
10,,Rosenthal,Roset
11,,Stadtrandsiedlung,
12,,Malchow,StaMa
13,,Weißensee,Weißs
14,,Wilhelmsruh,Wilhe
15,Rein,Reinickendorf,
16,,Borsigwalde,Borwa
17,,Frohnau,Frohn
18,,Heiligensee,Heils
19,,Hermsdorf,Hermd
20,,Konradshöhe,Konhö
21,,Lübars,Lübar
22,,Märkisches Viertel,MärkV
23,,Reinickendorf,Reind
24,,Tegel,Tegel
25,,Waidmannslust,Waid
26,,Wittenau,Wittn
27,Span,Spandau,
28,,Falkenhagener Feld,FalFe
29,,Gatow,Gatow
30,,Hakenfelde,Haken
31,,Haselhorst,Hasel
32,,Kladow,Klado
33,,Siemensstadt,Sieme
34,,Spandau,Spand
35,,Staaken,Staak
36,,Wilhelmstadt,Wilst
0,StZe,Steglitz-Zehlendorf,
1,,Dahlem,Dahle
2,,Lankwitz,Lankw
3,,Lichterfelde,Lifel
4,,Nikolassee,Nikol
5,,Steglitz,Stegl
6,,Wannsee,Wann
7,,Zehlendorf,Zehld
8,TrKö,Treptow-Köpenick,
9,,Adlershof,Adler
10,,Altglienicke,Altgl
11,,Alt-Treptow,Alttr
12,,Baumschulenweg,Baum
13,,Bohnsdorf,Bohnd
14,,Friedrichshagen,Frihg
15,,Grünau,Grüna
16,,Johannisthal,Johth
17,,Köpenick,Köpen
18,,Müggelheim,Mügg
19,,Niederschöneweide,Niesw
20,,Oberschöneweide,Obers
21,,Plänterwald,Plänt
22,,Rahnsdorf,Rahnd
23,,Schmöckwitz,Schm
24,TSch,Tempelhof-Schöneber,g
25,,Friedenau,Fried
26,,Lichtenrade,Lirad
27,,Mariendorf,Mardf
28,,Marienfelde,Marfe
29,,Schöneberg,Schön
30,,Tempelhof,Temp
31,i 2019 B,erliner Mietspiegel 2019,294
